Name,Firstname,Lastname,SamAccountName,EmailAddress,Organization,Position
Nathaniel Duncan,Nathaniel,Duncan,Induncan,nduncan@enterprise01.com,កងទ័ពជើងទឹក,នាយកនាយកដ្ឋានព័ត៌មានកងទ័ពជើងទឹក
Patrick Gill,Patrick,Gill,pgilt,pgill@enterprise01.com,កងទ័ពជើងទឹក,នាយកនាយកដ្ឋានភស្តុភារកងទ័ពជើងទឹក
Renee Collins,Renee,Collins,rcollins,rcollins@enterprise01.com,កងទ័ពជើងទឹក,នាយកនាយកដ្ឋានគមនាគមន៍ និងបច្ចេកវិទ្យាព័ត៌មាន កងទ័ពជើងទឹក
Annie Elliott,Annie,Elliott,aelliott,aelliott@enterprise01.com,កងទ័ពជើងទឹក,អ្នកគ្រប់គ្រងគេហទំពរកងទ័ពជើងទឹក
Alice Grant,Alice,Grant,agrant,agrant@enterprise01.com,កងទ័ពជើងទឹក,អ្នកគ្រប់គ្រងប្រព័ន្ធព័ត៌មានប្រតិបត្តិការ/ប្រព័ន្ធបញ្ជាការ កងទ័ពជើងទឹក
Arabella Wilson,Arabella,Wilson,awilson,awilson@enterprise01.com,កងទ័ពជើងអាកាស,មេបញ្ជាការកងទ័ពជើងអាកាស
Eva Simpson,Eva,Simpson,esimpson,esimpson@enterprise01.com,កងទ័ពជើងអាកាស,មេបញ្ជាការរងកងទ័ពជើងអាកាស
Hannah West,Hannah,West,hwest,hwest@enterprise01.com,កងទ័ពជើងអាកាស,អគ្គសេនាធិការកងទ័ពជើងអាកាស
Ariya Lee,Ariya,Lee,alee,alee@enterprise01.com,កងទ័ពជើងអាកាស,នាយកនាយកដ្ឋានប្រតិបត្តិការកងទ័ពជើងអាកាស
Skye Davies,Skye,Davies,sdavies,sdavies@enterprise01.com,កងទ័ពជើងអាកាស,នាយកនាយកដ្ឋានព័ត៌មានកងទ័ពជើងអាកាស
Alyssa Brooks,Alyssa,Brooks,abrooks,abrooks@enterprise01.com,កងទ័ពជើងអាកាស,នាយកនាយកដ្ឋានភស្តុភារកងទ័ពជើងអាកាស
Clara Porter,Clara,Porter,cporter,cporter@enterprise01.com,កងទ័ពជើងអាកាស,នាយកនាយកដ្ឋានបច្ចេកវិទ្យាព័ត៌មាន និងគមនាគមន៍ កងទ័ពជើងអាកាស
Parker Thompson,Parker,Thompson,pthompson,pthompson@enterprise01.com,កងទ័ពជើងអាកាស,អ្នកគ្រប់គ្រងគេហទំពរកងទ័ពជើងអាកាស
Aryan Wood,Aryan,Wood,awood,awood@enterprise01.com,កងទ័ពជើងអាកាស,អ្នកគ្រប់គ្រងប្រព័ន្ធព័ត៌មានប្រតិបត្តិការ/ប្រព័ន្ធគ្រប់គ្រងការហោះហើរ
Eric Read,Eric,Read,eread,eread@enterprise01.com,ភូមិភាគទាហានទី ១,មេបញ្ជាការភូមិភាគទាហានទី ១
Carson Moss,Carson,Moss,cmoss,cmoss@enterprise01.com,ភូមិភាគទាហានទី ១,មេបញ្ជាការរងភូមិភាគទាហាន
Milo Mason,Milo,Mason,mmason,mmason@enterprise01.com,ភូមិភាគទាហានទី ១,អគ្គសេនាធិការភូមិភាគទាហាន
Joey Barrett,Joey,Barrett,jbarrett,jbarrett@enterprise01.com,ភូមិភាគទាហានទី ១,ប្រធានផ្នែកព័ត៌មាន/ចារកម្ម
Andrew George,Andrew,George,ageorge,ageorge@enterprise01.com,ភូមិភាគទាហានទី ១,ប្រធានផ្នែកប្រតិបត្តិការ
Paul Green,Paul,Green,pgreen,pgreen@enterprise01.com,ភូមិភាគទាហានទី ១,ប្រធានផ្នែកភស្តុភារ
Felix Lawson,Felix,Lawson,flawson,flawson@enterprise01.com,ភូមិភាគទាហានទី ១,ប្រធានផ្នែកគមនាគមន៍ និងព័ត៌មានវិទ្យា
David Carter,David,Carter,dcarter,dcarter@enterprise01.com,ភូមិភាគទាហានទី ១,អ្នកគ្រប់គ្រងគេហទំពរ/ទំនាក់ទំនងសាធារណៈភូមិភាគ
Connie Young,Connie,Young,cyoung,cyoung@enterprise01.com,ភូមិភាគទាហានទី ១,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ និងប្រព័ន្ធព័ត៌មានភូមិភាគ
Isabelle Ryan,Isabelle,Ryan,iryan,iryan@enterprise01.com,ភូមិភាគទាហានទី ២,មេបញ្ជាការភូមិភាគទាហានទី ២
Astrid Dixon,Astrid,Dixon,adixon,adixon@enterprise01.com,ភូមិភាគទាហានទី ២,មេបញ្ជាការរងភូមិភាគទាហាន
Sophia Kelly,Sophia,Kelly,skelly,skelly@enterprise01.com,ភូមិភាគទាហានទី ២,អគ្គសេនាធិការភូមិភាគទាហាន
Isabelle Baker,Isabelle,Baker,ibaker,ibaker@enterprise01.com,ភូមិភាគទាហានទី ២,ប្រធានផ្នែកព័ត៌មាន/ចារកម្ម
Ariana Lowe,Ariana,Lowe,alowe,alowe@enterprise01.com,ភូមិភាគទាហានទី ២,ប្រធានផ្នែកប្រតិបត្តិការ
Madeline Adams,Madeline,Adams,madams,madams@enterprise01.com,ភូមិភាគទាហានទី ២,ប្រធានផ្នែកកិច្ចការស៊ីវិល
Anna Poole,Anna,Poole,apoole,apoole@enterprise01.com,ភូមិភាគទាហានទី ២,ប្រធានផ្នែកគមនាគមន៍ និងព័ត៌មានវិទ្យา
Dolly Wright,Dolly,Wright,dwright,dwright@enterprise01.com,ភូមិភាគទាហានទី ២,អ្នកគ្រប់គ្រងគេហទំពរ/ទំនាក់ទំនងសាธារណៈភូមិភាគ
Genevieve Reynolds,Genevieve,Reynolds,greynolds,greynolds@enterprise01.com,ភូមិភាគទាហានទី ២,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ និងប្រព័ន្ធព័ត៌មានភូមិភាគ
Jay Armstrong,Jay,Armstrong,jarmstrong,jarmstrong@enterprise01.com,ភូមិភាគទាហានទី ៣,មេបញ្ជាការភូមិភាគទាហានទី ៣
James Poole,James,Poole,jpoole,jpoole@enterprise01.com,ភូមិភាគទាហានទី ៣,មេបញ្ជាការរងភូមិភាគទាហាន
Brooklyn Collins,Brooklyn,Collins,bcollins,bcollins@enterprise01.com,ភូមិភាគទាហានទី ៣,អគ្គសេនាធិការភូមិភាគទាហាន
Jaxson Lawson,Jaxson,Lawson,jlawson,jlawson@enterprise01.com,ភូមិភាគទាហានទី ៣,ប្រធានផ្នែកព័ត៌មាន/ចារកម្ម
Nathan White,Nathan,White,nwhite,nwhite@enterprise01.com,ភូមិភាគទាហានទី ៣,ប្រធានផ្នែកប្រតិបត្តិការ
Ronnie Evans,Ronnie,Evans,revans,revans@enterprise01.com,ភូមិភាគទាហានទី ៣,ប្រធានផ្នែកភស្តុភារ
Parker Hall,Parker,Hall,phall,phall@enterprise01.com,ភូមិភាគទាហានទី ៣,ប្រធានផ្នែកគមនាគមន៍ និងព័ត៌មានវិទ្យា
Ashley Hughes,Ashley,Hughes,ahughes,ahughes@enterprise01.com,ភូមិភាគទាហានទី ៣,អ្នកគ្រប់គ្រងគេហទំពរ/ទំនាក់ទំនងសាธារណៈភូមិភាគ
Quinn Jackson,Quinn,Jackson,qjackson,qjackson@enterprise01.com,ភូមិភាគទាហានទី ៣,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ និងប្រព័ន្ធព័ត៌មានភូមិភាគ
Elliott Bell,Elliott,Bell,ebell,ebell@enterprise01.com,ភូមិភាគទាហានទី ៤,មេបញ្ជាការភូមិភាគទាហានទី ៤
Renee Hall,Renee,Hall,rhall,rhall@enterprise01.com,ភូមិភាគទាហានទី ៤,មេបញ្ជាការរងភូមិភាគទាហាន
Dottie Barnes,Dottie,Barnes,dbarnes,dbarnes@enterprise01.com,ភូមិភាគទាហានទី ៤,អគ្គសេនាធិការភូមិភាគទាហាន
Dorothy Read,Dorothy,Read,dread,dread@enterprise01.com,ភូមិភាគទាហានទី ៤,ប្រធានផ្នែកព័ត៌មាន/ចារកម្ម
Rosalie Thomson,Rosalie,Thomson,rthomson,rthomson@enterprise01.com,ភូមិភាគទាហានទី ៤,ប្រធានផ្នែកប្រតិបត្តិការ
Sophie Wood,Sophie,Wood,swood,swood@enterprise01.com,ភូមិភាគទាហានទី ៤,ប្រធានផ្នែកកិច្ចការស៊ីវិល
Riley Williams,Riley,Williams,rwilliams,rwilliams@enterprise01.com,ភូមិភាគទាហានទី ៤,ប្រធានផ្នែកគមនាគមន៍ និងព័ត៌មានវិទ្យា
Bianca Webb,Bianca,Webb,bwebb,bwebb@enterprise01.com,ភូមិភាគទាហានទី ៤,អ្នកគ្រប់គ្រងគេហទំពរ/ទំនាក់ទំនងសាธារណៈភូមិភាគ
Sophia Evans,Sophia,Evans,sevans,sevans@enterprise01.com,ភូមិភាគទាហានទី ៤,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ និងប្រព័ន្ធព័ត៌មានភូមិភាគ
Alice Harrison,Alice,Harrison,aharrison,aharrison@enterprise01.com,ភូមិភាគទាហានទី ៥,មេបញ្ជាការភូមិភាគទាហានទី ៥
Daniella Wells,Daniella,Wells,dwells,dwells@enterprise01.com,ភូមิភាគทាហានទី ៥,មេបញ្ជាការរងភូមិភាគទាហាន
Jake Hamilton,Jake,Hamilton,jhamilton,jhamilton@enterprise01.com,ភូមិភាគទាហានទី ៥,អគ្គសេនាธិការភូមិភាគទាហាន
Sidney Murray,Sidney,Murray,smurray,smurray@enterprise01.com,ភូមិភាគទាហានទី ៥,ប្រธានផ្នែកព័ត៌មាន/ចារកម្ម
Greyson Lowe,Greyson,Lowe,glowe,glowe@enterprise01.com,ភូមិភាគទាហានទី ៥,ប្រធានផ្នែកប្រតិបត្តិการ
Jayden Kennedy,Jayden,Kennedy,jkennedy,jkennedy@enterprise01.com,ភូមិភាគទាហានទី ៥,ប្រធานផ្នែកគមនាគមន៍ និងព័ត៌មានវិទ្យា
Olivier Woods,Olivier,Woods,owoods,owoods@enterprise01.com,ភូមិភាគទាហានទី ៥,អ្នកគ្រប់គ្រងគេហទំពរ/ទំនាក់ទំនងសាธារណៈភូមិភាគ
Rowan Hussain,Rowan,Hussain,rhussain,rhussain@enterprise01.com,ភូមិភាគទាហានទី ៥,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ និងប្រព័ន្ធព័ត៌មានភូមิភាគ
Conor Morgan,Conor,Morgan,cmorgan,cmorgan@enterprise01.com,ភូមิភាគទាហានពិសេស,មេបញ្ជាការភូមិភាគទាហានពិសេស
Aron Riley,Aron,Riley,ariley,ariley@enterprise01.com,ភូមิភាគទាហានពិសេស,មេបញ្ជាការរងភូមិភាគទាហានពិសេស
Robin Smith,Robin,Smith,rsmith,rsmith@enterprise01.com,ភូមិភាគទាហានពិសេស,អគ្គសេនាធិការភូមិភាគទាហានពិសេស
Archie Smith,Archie,Smith,asmith,asmith@enterprise01.com,ភូមិភាគទាហានពិសេស,ប្រធានផ្នែករក្សាសន្តិសុខតំបន់សំខាន់ៗ
Claudia Williams,Claudia,Williams,cwilliams,cwilliams@enterprise01.com,ភូមិភាគទាហានពិសេស,ប្រធานផ្នែកព័ត៌មានចារកម្ម និងតាមដានស្ថានការណ៍
Georgina Rogers,Georgina,Rogers,grogers,grogers@enterprise01.com,ភូមិភាគទាហានពិសេស,ប្រធានផ្នែកប្រតិបត្តិការ และគ្រប់គ្រងកម្លាំង
Nell Mason,Nell,Mason,nmason,nmason@enterprise01.com,ភូមិភាគទាហានพิเศษ,ប្រធានផ្នែកគមនាគមន៍ និងបច្ចេកវិទ្យាព័ត៌មាន
Darcey Lewis,Darcey,Lewis,dlewis,dlewis@enterprise01.com,ភូមិភាគទាហានពិសេស,អ្នកគ្រប់គ្រងគេហទំពរ/ប្រព័ន្ធទំនាក់ទំនងសាธារណៈភូមិភាគពិសេស
Yasmin Allen,Yasmin,Allen,yallen,yallen@enterprise01.com,ភូមិភាគទាហានពិសេស,អ្នកគ្រប់គ្រងប្រព័ន្ធបណ្តាញ ប្រព័ន្ធព័ត៌មាន និង CCTV/មជ្ឈមណ្ឌលបញ្ជាការ
Jasmine Robinson,Jasmine,Robinson,jrobinson,jrobinson@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,បុគ្គលិកសេវាកម្មទូទៅ
Evelyn May,Evelyn,May,emay,emay@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,បុគ្គលិកសេវាកម្មទូទៅ
Phoebe Francis,Phoebe,Francis,pfrancis,pfrancis@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,បុគ្គលិកសេវាកម្មទូទៅ
Amara Stone,Amara,Stone,astone,astone@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,បុគ្គលិកសេវាកម្មទូទៅ
Neve Perry,Neve,Perry,nperry,nperry@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,បុគ្គលិកសេវាកម្មទូទៅ
